352;2,91;211;2,23;286;2,93;556;3,66;415;2,49;445;3,79;400;3,73;554;4,79;569;3,87;323;2,81;388;3,07
241143
1;6792;4,43
694;4,14;498;4,93;577;4,89;796;5,44;730;4,91;639;3,35;346;3,93;938;6,65;429;3,54;791;3,75;354;3,62
1;6873;4,77
363;3,20;527;5,70;484;5,73;861;7,28;834;4,84;891;5,93;319;4,12;618;4,99;586;3,23;835;4,84;555;3,61
1;11305;6,89
702;3,77;711;4,61;751;3,80;932;7,46;1083;8,66;1030;6,16;2123;14,75;1074;10,49;1235;9,21;905;7,07;759;4,29
1;8391;5,51
307;3,43;270;2,62;469;3,91;311;3,11;886;5,19;808;7,87;1162;8,28;1230;6,86;1573;10,34;597;3,14;778;4,43
0;4786;3,18
242;1,99;653;3,16;814;5,54;376;2,86;426;3,02;238;2,36;355;3,25;366;3,01;465;3,48;484;3,25;367;2,58
0;5348;3,52
519;3,54;438;2,48;759;4,10;309;2,55;705;5,21;484;3,06;289;2,44;309;2,97;462;3,62;698;4,75;376;3,69
1;5571;3,98
449;2,53;445;2,52;320;2,32;435;5,02;674;4,07;552;3,71;433;3,72;627;7,10;546;5,25;605;5,38;485;5,62
0;4168;3,06
342;2,82;199;2,10;298;3,05;464;3,05;642;3,85;418;3,56;289;2,70;327;2,83;358;2,44;516;4,49;315;2,50
241147
0;2515;1,64
626;3,74;154;1,52;169;1,43;183;1,25;206;1,39;258;1,35;158;1,79;219;1,55;153;1,26;275;1,30;114;1,17
0;2926;2,03
95;0,84;178;1,93;200;2,37;341;2,88;432;2,51;287;1,91;110;1,42;179;1,45;253;1,39;647;3,75;204;1,33
0;3132;1,91
240;1,29;281;1,82;509;2,58;227;1,82;233;1,86;260;1,55;275;1,91;260;2,54;321;2,39;241;1,88;285;1,61
0;3153;2,07
168;1,88;199;1,93;184;1,53;151;1,51;410;2,40;442;4,31;339;2,42;285;1,59;323;2,12;333;1,75;319;1,81
0;2574;1,71
172;1,41;428;2,07;413;2,81;197;1,50;213;1,51;126;1,25;244;2,23;211;1,74;154;1,15;185;1,24;231;1,62
0;2409;1,58
149;1,02;294;1,67;393;2,12;177;1,46;249;1,84;259;1,64;165;1,39;145;1,39;166;1,30;280;1,91;132;1,30
0;1865;1,33
262;1,48;212;1,20;129;0,93;94;1,08;190;1,15;213;1,43;150;1,29;115;1,30;170;1,63;194;1,72;136;1,58
0;1705;1,25
171;1,41;147;1,55;109;1,12;130;0,86;194;1,16;218;1,86;112;1,04;132;1,14;200;1,36;126;1,10;166;1,32
241152
3;34599;22,59
3148;18,79;2196;21,72;2393;20,30;2821;19,29;2911;19,59;4927;25,79;1909;21,67;3753;26,59;4202;34,71;4069;19,28;2270;23,21
3;27880;19,36
2838;25,01;1510;16,33;1234;14,60;1329;11,24;2502;14,52;2271;15,11;1799;23,24;2925;23,63;4214;23,20;3095;17,93;4163;27,09
3;31987;19,50
4580;24,58;3341;21,66;4639;23,50;2142;17,15;1922;15,36;4269;25,52;2158;14,99;1302;12,72;1865;13,91;2112;16,50;3657;20,68
3;32120;21,08
1806;20,20;3574;34,70;3871;32,23;3921;39,21;3424;20,07;1297;12,64;2124;15,13;3055;17,04;2072;13,62;3972;20,89;3004;17,09
4;41017;27,27
4339;35,69;5865;28,34;3027;20,60;3391;25,79;3287;23,31;3249;32,18;2801;25,62;3806;31,33;3338;25,01;3884;26,07;4030;28,35
3;37662;24,76
3887;26,55;5794;32,86;3785;20,46;3608;29,75;3378;24,97;4024;25,46;3770;31,87;2443;23,48;3232;25,35;2161;14,72;1580;15,50
4;35157;25,09
4649;26,24;5871;33,20;4926;35,68;1961;22,63;3692;22,27;3637;24,42;2925;25,13;1554;17,60;2060;19,80;2164;19,23;1718;19,90
4;39475;29,01
3778;31,21;2893;30,52;2647;27,10;3932;25,86;3954;23,69;2814;23,99;3630;33,86;3527;30,50;4918;33,45;3050;26,56;4332;34,32
241154
0;8137;5,31
1058;6,31;598;5,91;692;5,87;940;6,43;813;5,47;802;4,20;359;4,08;594;4,21;530;4,38;887;4,20;864;8,83
1;10684;7,42
895;7,89;1097;11,86;710;8,40;864;7,31;1169;6,78;1029;6,85;354;4,57;738;5,96;1117;6,15;1321;7,65;1390;9,05
1;10146;6,18
1140;6,12;816;5,29;997;5,05;759;6,08;992;7,93;893;5,34;939;6,52;690;6,74;1172;8,74;836;6,53;912;5,16
1;9419;6,18
1242;13,89;374;3,63;516;4,30;453;4,53;1029;6,03;776;7,56;978;6,97;1163;6,49;997;6,55;921;4,84;970;5,52
1;12307;8,18
588;4,84;1151;5,56;982;6,68;750;5,70;947;6,72;349;3,46;1618;14,80;1090;8,97;834;6,25;2894;19,43;1104;7,77
1;10408;6,84
1288;8,80;936;5,31;1117;6,04;610;5,03;725;5,36;686;4,34;435;3,68;1876;18,03;537;4,21;1525;10,38;673;6,60
1;8577;6,12
884;4,99;949;5,37;856;6,20;635;7,33;1072;6,47;938;6,30;602;5,17;610;6,91;675;6,49;796;7,07;560;6,49
1;10031;7,37
